Velocità;DistanzaLineaCentrale;SensoreSXSX;SensoreSX;SensoreCentrale;SensoreDX;SensoreDXDX;AngoloTraccia
29.8517;0.334717;11.8027;32.5636;200.0;63.617;23.5111;0.00356024;1
30.5596;0.334706;11.8033;32.5676;200.0;63.6097;23.5103;0.00358933;1
31.2791;0.334695;11.8038;32.572;200.0;63.602;23.5093;0.00361985;1
32.0134;0.334683;11.8046;32.5778;200.0;63.5916;23.5082;0.00366181;1
32.7635;0.334671;11.8053;32.584;200.0;63.5803;23.5069;0.00370758;1
33.5308;0.334659;11.8062;32.5917;200.0;63.5662;23.5053;0.00376576;1
34.3146;0.334646;11.8073;32.6009;200.0;63.5493;23.5035;0.00383538;1
35.1118;0.334634;11.8088;32.6149;200.0;63.5235;23.5007;0.00394362;1
35.9216;0.334622;11.8105;32.6315;200.0;63.4928;23.4975;0.00407236;1
36.7506;0.334609;11.8122;32.6475;200.0;63.4633;23.4944;0.00419634;1
37.5953;0.334595;11.8141;32.665;200.0;63.431;23.491;0.00433224;1
38.4509;0.334581;11.8162;32.6847;200.0;63.3949;23.4872;0.00448483;1
39.3198;0.334566;11.8185;32.7071;200.0;63.3536;23.4829;0.00465935;1
39.5798;0.334545;11.8197;32.7165;200.0;63.3369;23.4809;0.00472706;1
39.5651;0.334511;11.8198;32.7132;200.0;63.3446;23.4813;0.00468701;1
39.5547;0.334471;11.8202;32.7118;200.0;63.349;23.4812;0.00465935;1
39.5472;0.334428;11.8209;32.7131;200.0;63.3485;23.4806;0.00465315;1
39.5413;0.334383;11.8218;32.7161;200.0;63.345;23.4796;0.00465935;1
39.5359;0.334339;11.8227;32.7198;200.0;63.3399;23.4786;0.00467223;1
39.5309;0.334293;11.8237;32.7238;200.0;63.3344;23.4774;0.00468605;1
39.5304;0.334247;11.8247;32.7278;200.0;63.3292;23.4763;0.0046994;1
39.8665;0.334201;11.8257;32.7326;200.0;63.3223;23.475;0.00471991;1
40.2826;0.334151;11.8269;32.7376;200.0;63.3151;23.4737;0.00474041;1
40.7004;0.3341;11.8278;32.7408;200.0;63.3113;23.4726;0.00474661;1
41.1215;0.33405;11.8286;32.7419;200.0;63.3115;23.472;0.00473517;1
41.5461;0.333998;11.8292;32.7416;200.0;63.3143;23.4716;0.00471228;1
41.9748;0.333945;11.8299;32.7412;200.0;63.3175;23.4713;0.00468796;1
42.4075;0.333893;11.8305;32.7405;200.0;63.3211;23.471;0.00466221;1
42.8434;0.333841;11.8311;32.7394;200.0;63.3254;23.4707;0.00463265;1
43.2827;0.333789;11.8316;32.7383;200.0;63.3297;23.4705;0.00460356;1
43.7255;0.333737;11.8323;32.7381;200.0;63.3324;23.4701;0.00458115;1
44.1719;0.333685;11.833;32.7382;200.0;63.3344;23.4696;0.0045616;1
44.6219;0.333633;11.8337;32.7383;200.0;63.3367;23.4692;0.00454157;1
45.0753;0.333581;11.8344;32.7384;200.0;63.3387;23.4687;0.00452154;1
45.5324;0.333529;11.8351;32.739;200.0;63.34;23.4682;0.00450581;1
45.9931;0.333477;11.8359;32.7397;200.0;63.3409;23.4676;0.0044915;1
46.4574;0.333425;11.8366;32.74;200.0;63.3426;23.4671;0.00447338;1
46.9252;0.333373;11.8373;32.7402;200.0;63.3446;23.4666;0.00445431;1
47.3966;0.333321;11.838;32.7408;200.0;63.3459;23.4661;0.0044381;1
47.8719;0.333269;11.8387;32.7414;200.0;63.347;23.4655;0.00442236;1
48.3507;0.333216;11.8394;32.7416;200.0;63.349;23.4651;0.00440329;1
48.8332;0.333164;11.8401;32.7416;200.0;63.3512;23.4646;0.00438326;1
49.3194;0.333112;11.8408;32.742;200.0;63.3528;23.4641;0.00436562;1
49.8096;0.33306;11.8415;32.7424;200.0;63.3543;23.4636;0.00434845;1
50.3035;0.333008;11.8422;32.7425;200.0;63.3564;23.4631;0.0043289;1
50.8011;0.332956;11.8429;32.7425;200.0;63.3588;23.4627;0.00430792;1
51.3027;0.332904;11.8436;32.7428;200.0;63.3605;23.4622;0.0042898;1
51.8082;0.332852;11.8443;32.7432;200.0;63.362;23.4617;0.00427264;1
52.3177;0.3328;11.845;32.7433;200.0;63.3641;23.4612;0.00425309;1
52.831;0.332748;11.8457;32.7433;200.0;63.3665;23.4608;0.0042321;1
53.3484;0.332696;11.8464;32.7436;200.0;63.3683;23.4603;0.00421398;1
53.8699;0.332644;11.8471;32.744;200.0;63.3698;23.4598;0.00419682;1
54.3955;0.332592;11.8478;32.7441;200.0;63.3718;23.4593;0.00417727;1
54.925;0.332539;11.8485;32.7441;200.0;63.3741;23.4589;0.00415676;1
55.4587;0.332487;11.8492;32.7444;200.0;63.3759;23.4584;0.00413864;1
55.9966;0.332435;11.8499;32.7449;200.0;63.3774;23.4579;0.00412148;1
56.5378;0.332383;11.8506;32.745;200.0;63.3795;23.4574;0.00410193;1
57.0822;0.332331;11.8513;32.745;200.0;63.3818;23.457;0.00408142;1
57.6299;0.332279;11.852;32.7452;200.0;63.3835;23.4565;0.0040633;1
58.1809;0.332227;11.8527;32.7457;200.0;63.3851;23.456;0.00404566;1
58.7352;0.332175;11.8534;32.7458;200.0;63.3872;23.4555;0.00402611;1
59.2928;0.332123;11.8541;32.7458;200.0;63.3894;23.4551;0.00400561;1
59.8537;0.332071;11.8548;32.7461;200.0;63.3912;23.4546;0.00398749;1
60.4182;0.332019;11.8555;32.7465;200.0;63.3927;23.454;0.00397032;1
60.9859;0.331966;11.8562;32.7467;200.0;63.3947;23.4536;0.00395125;1
61.557;0.331914;11.8569;32.7468;200.0;63.3969;23.4531;0.00393122;1
62.1315;0.331862;11.8576;32.7471;200.0;63.3985;23.4526;0.00391358;1
62.7096;0.33181;11.8583;32.7475;200.0;63.4001;23.4521;0.00389641;1
63.2912;0.331758;11.859;32.7477;200.0;63.402;23.4516;0.00387734;1
63.8761;0.331706;11.8597;32.7478;200.0;63.4041;23.4512;0.00385731;1
64.4646;0.331654;11.8604;32.7482;200.0;63.4057;23.4507;0.00384014;1
65.0567;0.331633;11.8606;32.7469;200.0;63.4091;23.4507;0.0038215;1
65.6524;0.331581;11.8613;32.7472;200.0;63.4108;23.4502;0.0038033;1
66.2515;0.331529;11.862;32.7474;200.0;63.4127;23.4497;0.00378452;1
66.8543;0.331479;11.8627;32.7478;200.0;63.4142;23.4493;0.00376766;1
67.4609;0.331428;11.8634;32.7484;200.0;63.4154;23.4487;0.0037523;1
68.071;0.331378;11.8641;32.7487;200.0;63.4171;23.4482;0.00373494;1
68.6846;0.331328;11.8648;32.7489;200.0;63.4189;23.4478;0.00371671;1
69.302;0.331277;11.8654;32.7493;200.0;63.4204;23.4473;0.00370028;1
69.9224;0.331227;11.8662;32.7498;200.0;63.4216;23.4468;0.00368469;1
70.5453;0.331176;11.8668;32.7502;200.0;63.4232;23.4463;0.0036675;1
71.1705;0.331126;11.8675;32.7504;200.0;63.425;23.4458;0.0036497;1
71.7983;0.331076;11.8682;32.7509;200.0;63.4263;23.4453;0.0036336;1
72.4286;0.331025;11.8689;32.7515;200.0;63.4275;23.4447;0.00361828;1
73.0613;0.330975;11.8696;32.7519;200.0;63.429;23.4443;0.0036015;1
73.6965;0.330925;11.8703;32.7522;200.0;63.4306;23.4438;0.00358421;1
74.3343;0.330875;11.871;32.7527;200.0;63.4319;23.4433;0.00356859;1
74.9746;0.330826;11.8717;32.7532;200.0;63.4331;23.4427;0.00355373;1
75.6174;0.330777;11.8724;32.7536;200.0;63.4345;23.4423;0.00353747;1
76.2627;0.330729;11.873;32.7539;200.0;63.4361;23.4418;0.00352069;1
76.9105;0.33068;11.8737;32.7544;200.0;63.4374;23.4413;0.00350547;1
