Velocità;DistanzaLineaCentrale;TrackEdgeSensors[0];TrackEdgeSensors[1];TrackEdgeSensors[2];TrackEdgeSensors[3];TrackEdgeSensors[4];TrackEdgeSensors[5];TrackEdgeSensors[6];TrackEdgeSensors[7];TrackEdgeSensors[8];TrackEdgeSensors[9];TrackEdgeSensors[10];TrackEdgeSensors[11];TrackEdgeSensors[12];TrackEdgeSensors[13];TrackEdgeSensors[14];TrackEdgeSensors[15];TrackEdgeSensors[16];TrackEdgeSensors[17];TrackEdgeSensors[18];TrackEdgeSensors[19];AngoloTraccia
90.2846;0.429451;0.8565989999999999;-0.10294799999999996;-0.9859500000000001;-1.7347099999999998;-2.1503900000000002;-2.16364;-2.0650199999999996;-0.4964799999999997;11.147900000000002;6.1415999999999995;-5.02406;-8.009229999999999;-9.85044;-11.3123;-12.79905;-14.125413;-15.273359;-16.340025;-17.355240000000002;0.5067730295892073;1
90.7856;0.427888;0.858929;-0.10061699999999991;-0.98346;-1.73186;-2.1469;-2.15987;-2.0621099999999997;-0.5004900000000007;11.011000000000001;6.246199999999999;-5.025180000000001;-8.01408;-9.85522;-11.31662;-12.80258;-14.128238999999999;-15.275835;-16.342362;-17.357598;0.5067020783155769;1
91.1716;0.426322;0.861283;-0.09813899999999993;-0.98065;-1.7283099999999998;-2.14162;-2.15158;-2.05032;-0.4798900000000003;11.087200000000001;6.169700000000001;-5.04557;-8.025780000000001;-9.86346;-11.32302;-12.80708;-14.131475;-15.278507;-16.344777;-17.359948;0.5067112138093104;1
91.6384;0.4247525;0.8636189999999999;-0.09582800000000002;-0.97822;-1.72559;-2.13851;-2.1487600000000002;-2.0493099999999997;-0.48910999999999943;10.907599999999999;6.314699999999999;-5.04274;-8.029259999999999;-9.867560000000001;-11.32694;-12.81043;-14.134232;-15.280955;-16.347109;-17.362319;0.5066231533792976;1
91.9883;0.423183;0.8659739999999999;-0.09337300000000007;-0.97545;-1.7221800000000003;-2.13359;-2.1413699999999998;-2.03929;-0.4734499999999997;10.941300000000002;6.2739;-5.05941;-8.039660000000001;-9.87515;-11.33295;-12.81475;-14.137398;-15.283597;-16.349515;-17.364677;0.5066162778857561;1
92.4377;0.4216125;0.8683120000000001;-0.09105699999999999;-0.97301;-1.71944;-2.13042;-2.13842;-2.0380000000000003;-0.4818100000000001;10.7728;6.4159999999999995;-5.05729;-8.043420000000001;-9.8794;-11.336969999999999;-12.81814;-14.140173999999998;-15.286054000000002;-16.351851;-17.367048;0.5065309390052702;1
92.7978;0.4200445;0.870656;-0.08867700000000003;-0.9704200000000001;-1.7163800000000002;-2.1264;-2.1332999999999998;-2.03244;-0.47836999999999963;10.7052;6.4691;-5.0644599999999995;-8.05047;-9.88531;-11.34198;-12.82199;-14.143141;-15.288601;-16.354219;-17.36941;0.50648429069145;1
93.3066;0.4184785;0.872992;-0.08633299999999995;-0.96791;-1.7134900000000002;-2.1228100000000003;-2.12926;-2.02898;-0.48064999999999997;10.591800000000001;6.568199999999999;-5.067130000000001;-8.05594;-9.89042;-11.34651;-12.82563;-14.146011999999999;-15.2911;-16.356567000000002;-17.371772;0.5064189575873108;1
93.6968;0.4169165;0.87532;-0.08401099999999992;-0.9654400000000001;-1.71068;-2.11943;-2.12574;-2.0265;-0.4855400000000003;10.459200000000001;6.690600000000001;-5.067690000000001;-8.06067;-9.89515;-11.35081;-12.829149999999998;-14.148833999999999;-15.293574000000001;-16.358901;-17.374128;0.5063450778627275;1
94.1308;0.4153595;0.877651;-0.08161900000000007;-0.9628;-1.7075;-2.11508;-2.1197399999999997;-2.0191899999999996;-0.47712999999999967;10.436000000000002;6.705500000000001;-5.07893;-8.06914;-9.90176;-11.35622;-12.833179999999999;-14.151867;-15.296143;-16.361269;-17.37647;0.5063153795503466;1
94.5899;0.4138075;0.8799720000000001;-0.07926199999999994;-0.96024;-1.70447;-2.1111;-2.11468;-2.01367;-0.47356999999999944;10.374600000000001;6.760300000000001;-5.08631;-8.07625;-9.90767;-11.36122;-12.837010000000001;-14.154813;-15.298668000000001;-16.363615;-17.378807000000002;0.506269845321128;1
94.9482;0.41225849999999997;0.882295;-0.07684800000000003;-0.95753;-1.70114;-2.10635;-2.10764;-2.00428;-0.4594399999999993;10.3982;6.727199999999999;-5.10221;-8.08632;-9.91507;-11.367099999999999;-12.841239999999999;-14.157927;-15.301269;-16.365987999999998;-17.381134;0.5062595161653214;1
95.4431;0.410711;0.8846209999999999;-0.07438900000000004;-0.95472;-1.6975799999999999;-2.101;-2.0991299999999997;-1.9920099999999998;-0.43746000000000007;10.4847;6.629;-5.12437;-8.09858;-9.92356;-11.373619999999999;-12.845769999999998;-14.161164;-15.303927999999999;-16.368382;-17.383455;0.5062752406736988;1
95.7752;0.4091615;0.88695;-0.07193500000000004;-0.9519299999999999;-1.69405;-2.09575;-2.09086;-1.9802100000000002;-0.41676999999999964;10.5608;6.5421;-5.14547;-8.110470000000001;-9.93186;-11.38003;-12.85026;-14.164383;-15.30658;-16.370774;-17.385779;0.506286524759164;1
